,comments,username,starts,times,hasuses,citys,intodoubantimes,leval
32,"['众多', '知名', '人物', '汇聚一堂', '各展', '神威', '眼花缭乱', '目瞪口呆']",青山绿水,40,2018-04-20 15:19:15,30,,,好评
33,,富豪雪糕车,40,2012-09-03 21:50:23,0,,,好评
34,"['视觉', '听觉', '饕餮', '盛宴', '不间断', '心灵', '震撼', '经典', '演绎', '美国式', '英雄']",罂脂蔻,40,2012-06-19 00:42:38,0,,,好评
35,,捶脑门儿,50,2012-09-04 22:52:41,1,,,好评
36,,JX,50,2012-04-28 07:24:45,69,,,好评
37,"['角色', '一部', '电影', '浪费', '阵容', '经典', '庆幸', '不错']",春风不解意,40,2018-04-24 08:27:12,26,陕西西安,2018-01-06,好评
38,"['首映', '全场', '爆满', '美国', '英雄', '聚集', '卖萌傲', '娇', '钢铁', '侠', '绿巨人', '可爱', '狂轰滥炸', '睡意']",林夕の辞,50,2012-04-26 06:27:34,30,firenze,2008-11-03,好评
39,,sangchen,40,2012-09-03 23:37:12,0,,,好评
40,"['超级', '英雄', '大乱', '炖', '看个', '热闹', '特效', '不错']",偏要勉强,30,2018-04-24 13:35:41,30,江苏苏州,2015-07-24,一般
41,"['灰常', '欢乐', '很帅', '寡妇', '姐', '最强']",蓝色的十一维度,30,2012-09-03 19:14:00,0,,,一般
42,,wondersss,30,2012-09-03 17:50:11,0,,,一般
43,"['喜欢', '英雄', '电影', '系列', '英雄', '角色', '特色', '剧情', '刺激', '搞笑']",[已注销],40,2018-02-18 15:45:15,32,,,好评
44,"['大杂烩', '剧情', '蝙蝠侠', '场面', '变形金刚', '希望', '第二部', '改进']",Cris726,30,2012-09-03 22:02:28,0,,,一般
45,,七天七夜,50,2012-09-03 11:55:53,0,北京,2008-03-15,好评
46,,哆来咪吥羔,40,2012-06-18 23:05:19,2,四川成都,2011-06-15,好评
47,,麦子,20,2012-04-23 10:44:33,1022,陕西西安,2008-07-22,差评
48,,明艳媚娃高晓松,30,2012-09-03 23:04:27,0,,,一般
49,"['原本', '期待', '一部', '片子', '钢铁', '侠', '美国', '队长', '漫画', '英雄', '电影', '不错', '凑在一起', '烂', '英雄', '太', '文艺', '演技', '台词', '角色', '深度', '蝙蝠侠', '前传', '小丑', '贝尔', '故事', '很强', '代入', '希望', '蝙蝠侠', '失望']",恶魔之月江雪,30,2012-09-03 09:10:41,0,,,一般
50,"['看得', '想', '睡觉', '3d', '纽约', '拆']",五色全味,20,2012-04-27 01:00:43,800,北京,2007-01-10,差评
51,"['不算', '太差', '枪版', '每隔', '一段时间', '听到', '炸', '爆米花', '声音', '电影院', '效果', '更好']",央央,40,2012-06-18 19:31:03,0,,,好评
52,"['众多', '知名', '人物', '汇聚一堂', '各展', '神威', '眼花缭乱', '目瞪口呆']",青山绿水,40,2018-04-20 15:19:15,30,,,好评
53,"['发觉', '半小时', '云层', '气压', '地面', '吹', '走', '件', '困难', '事情', '不刷谢', '耳朵', '额', '绿巨人']",Lululun,50,2012-09-03 17:43:29,0,上海,2010-04-11,好评
54,,富豪雪糕车,40,2012-09-03 21:50:23,0,,,好评
55,,袁日天,30,2012-09-03 13:10:39,0,,,一般
56,"['妇联', '一家子', '阿爸', '钢铁', '萝卜', '泥', '负责', '臭屁', '幼稚', '高智商', '关键时刻', '拯救', '家庭', '大奶', '队长', '妈妈', '负责', '正义', '善良', '引领', '家庭', '大儿子', '绿巨人', '负责', '主力', '攻击', '小儿子', '雷神', '儿媳', '裸', '基因', '爱情', '闹', '矛盾', '儿媳', '嘴贱', '不停', '众人', '围殴', '黑寡妇', '鹰眼', '腹黑', '牛', '逼', '保镖', '前段', '内讧', '超有', '爱', '集体', '总攻', '长镜头', '3d', '燃爆']",伍德与夏洛蒂,50,2012-05-07 00:09:00,27,北京,2008-12-28,好评
57,"['爆米花', '电影', '乱', '撒', '一地', '特效', '疲', '后半程', 'nyc', '火拼', '证明', '妇联', '变形金刚', '战役', '攻略', 'harry', 'dean', 'stanton', '调侃', '绿巨人', '一段', '证明', '全片', '搞笑', '人物']",大奇特(Grinch),20,2012-05-05 10:31:54,55,北京,2005-12-31,差评
58,"['超级', '英雄', '大乱', '黄金', '圣衣', '钢铁', '侠', '喜欢', '因素', '烩', '菜', '搞笑', '因素', '一点儿', '无聊']",krahs,50,2012-06-19 09:25:34,0,陕西西安,2007-11-05,好评
59,,ZM子喵,50,2012-09-03 11:28:49,1,,,好评
60,,你啊你啊,30,2012-09-03 13:47:06,0,重庆,2011-11-16,一般
61,,虬髯郎,50,2012-09-03 20:05:04,0,江苏南京,2011-11-19,好评
62,"['视觉', '听觉', '饕餮', '盛宴', '不间断', '心灵', '震撼', '经典', '演绎', '美国式', '英雄']",罂脂蔻,40,2012-06-19 00:42:38,0,,,好评
63,,白不过儿,50,2012-09-03 10:07:13,0,北京,2012-03-06,好评
64,,Drache,50,2012-09-03 19:18:58,0,上海,2010-11-03,好评
65,"['好莱坞', '大片', '大牌', '美女', '装备', '幽默', '特技', '搞搞', '抖森', '萌史', '爱']",太空内的快活,50,2012-09-03 21:03:08,0,上海,2011-03-05,好评
66,"['角色', '一部', '电影', '浪费', '阵容', '经典', '庆幸', '不错']",春风不解意,40,2018-04-24 08:27:12,26,陕西西安,2018-01-06,好评
67,,sangchen,40,2012-09-03 23:37:12,0,,,好评
68,"['这部', '电影', '带回', '童年', '英雄', '并肩战斗', '兴奋不已']",godzilla,40,2018-04-20 06:54:31,28,,,好评
69,,Rock,40,2012-09-03 12:49:59,0,广东深圳,2007-06-10,好评
70,,燃烧吧小宇宙,50,2012-09-03 20:09:32,0,广东深圳,2012-08-29,好评
71,,朱朱小当家,40,2012-09-03 19:35:02,0,,,好评
72,"['电影院', '3d', '艾玛', '带劲', '绿巨人', '可爱']",mona,50,2012-09-03 20:24:20,0,,,好评
73,,k.,40,2012-09-03 10:10:26,0,重庆,2010-12-20,好评
74,,yaozhifeng,40,2012-09-03 09:02:53,0,上海,2010-04-05,好评
75,,蒙三水,50,2012-09-03 22:19:43,0,重庆,2012-08-21,好评
76,,Skye,50,2012-09-03 20:44:52,0,,,好评
77,,瞄喵咪,50,2012-09-03 22:17:23,0,,,好评
78,,克卜勒●浩叔,50,2012-06-19 10:46:29,0,北京,2008-10-21,好评
79,,旮旯,40,2012-09-03 10:50:55,0,,,好评
80,,大西洋的地盘,30,2012-09-03 17:41:42,0,,,一般
81,"['笑点', '超级', '英雄', '卖萌', '好评', '电影', '好评']",无尽の夏天,50,2012-06-19 09:46:10,0,北京,2009-08-22,好评
82,,R,40,2012-09-03 16:49:45,0,陕西西安,2008-05-13,好评
83,,Sally,50,2012-06-19 12:12:55,0,,,好评
84,,歲月輕狂,30,2012-06-17 09:09:16,0,江苏南京,2009-05-30,一般
85,"['超级', '英雄', '大聚会', '用心', '穿插', '几个', '幽默', '桥段', '值得一看']",云之彼端,40,2012-09-03 10:05:50,0,,,好评
86,,愿此间山有木兮,40,2018-01-10 19:56:22,25,,,好评
87,"['超级', '英雄', '聚齐', '维护', '地球', '美式', '动作', '大片']",我爱我现,40,2012-09-03 16:32:44,0,北京,2012-07-23,好评
88,"['炸弹', '扔', '天空', '剧情', '好几个', '地方', '发现', '斯嘉丽', '约翰逊', '嘴唇', '性感']",Breudrax,40,2012-09-04 01:30:15,0,,,好评
89,"['世界', '和平', '聚集', '几位', '超能力', '剧中', '几个', '笑点', '效果', '绿巨人', '浩克', '表演', '出彩', '战友', '两场', '调侃', '戏份', '真的', '到位', '韩式', '喜剧', '两个', '小时', '至少', '瞌睡', '意犹未尽', '不错', '确实', '好看']",云悦,40,2012-09-03 10:58:54,0,,,好评
90,"['只想', '洛基', '真心', '史', '最脑', '残', 'boss']",闲渝,40,2012-09-03 12:08:09,0,,,好评
91,"['热热闹闹', '好看', '喜欢', '鹰眼', '真的', '很帅']",红袖添饭,40,2012-09-03 16:10:07,0,,,好评
92,,小懶同學 -,40,2012-09-03 20:40:19,0,barcelona,2010-07-28,好评
93,,flowermix,40,2012-09-03 10:44:06,0,,,好评
94,"['强大', '视觉', '刺激', '明星阵容', '震撼', '配乐']",S.A.T.S@S.C,40,2012-09-03 22:42:11,0,北京,2010-08-15,好评
95,,sungodhead,40,2012-09-03 21:11:29,0,,,好评
96,,潇湘烟雨,40,2018-04-17 08:50:07,26,天津,2017-08-08,好评
97,,Ｆlamingo,30,2012-06-19 10:09:19,0,new york city,2006-01-18,一般
98,,可免都免掉,30,2012-06-19 10:16:44,0,,,一般
99,"['群殴', '美国', '队长', '雷神', '笑', '2012', '玩', '核弹', '反派', 'boss', '太弱', '一集', '红脸', '外星', '猩猩', '崛起', '乱入']",木卫二,30,2012-05-06 13:48:31,18,四川成都,2006-03-29,一般
100,,A宝,40,2012-06-19 09:47:55,0,,,好评
101,"['剧情', '简单', '反派', '弱', '科普', '懂', '搞笑', '程度', '效果', '不错', '中文字幕', '组是', '亮点']",龙天衡,40,2012-06-19 12:45:23,0,,,好评
102,,just game,50,2012-06-19 06:00:06,0,,,好评
103,"['前半部', '睡着', '高潮', '精神', '欣赏', '看过', '前戏', '朋友', '功课', '状况', 'imax', '画面', '特效', '没话说']",瞾曌没曌瞾了,30,2012-06-19 06:17:24,0,,,一般
104,,黑色的颜,30,2012-06-19 10:23:17,0,,,一般
105,"['阵容强大', '集结', '美国', '漫画', '绝大', '英雄', '场面', '庞大']",隨風qù闖蕩,40,2012-06-19 12:21:24,0,,,好评
106,,RITA,30,2012-04-27 05:43:14,27,paris,2007-06-16,一般
107,"['无聊', '弱智', '大乱', '炖', '狗血', '剧情']",已注销,10,2018-04-23 07:34:27,25,,,差评
108,,_MasQ,50,2012-06-17 06:48:47,0,上海,2008-06-17,好评
109,"['美国', '大片', '影院', '感受', '刺激', '刺激']",元子,40,2012-06-17 08:02:20,0,山东青岛,2009-06-30,好评
110,"['超级', '英雄', '实在', '理解', '无能', '3d', '眼镜', '墨镜', '雨果', '想', '真的', '黑', '途中', '无数次', '摘下', '眼镜', '发现', '字幕', '3d']",偏时差,30,2012-04-29 19:30:31,27,中国香港,2005-11-13,一般
111,,dncjkebhascvdc,50,2012-06-17 11:30:06,0,,,好评
112,,dennis,40,2012-06-17 09:17:37,0,江苏南京,2008-11-17,好评
113,"['铺垫', '五部', '电影', '换来', '复仇者', '第一次', '集结', '史', '第一部', '超级', '英雄', '集结', '电影', '当之无愧', '现象', '作品', '眼光', '复联', '教科书', '群', '像片', '分钟', '美队', '绿巨人', '黑寡妇', '集结', '50', '分钟', '鹰眼', '巨头', '聚首', '铺垫', '规划', '天衣无缝', '矛盾', '内乱', '桥段', '钢铁', '侠', '雷神', '钢铁', '侠', '美队', '雷神', '绿巨人', '复仇者', '尼克', '弗瑞', '分歧', '剧情', '丰满', '执行', '增加', '难度', '巧妙', '引出', '心灵', '宝石', '洛基', '心灵', '宝石', '复仇者', '符合', '洛基', '作风', '确保', '复仇者', '胜利', '太', '无论是', '剧本', '规划', '完美', '值得一提的是', '电影', '开头', '天马', '计划', '惊奇', '队长', '呼应', 'ps', '斯坦', '李', '130', '第一个', '彩蛋', '灭霸', '第二个', '彩蛋', '众人', '吃', '沙瓦玛', '烤肉']",凌睿,50,2012-08-18 01:18:23,24,重庆,2012-08-07,好评
114,,愛絲希雅,30,2012-06-17 09:56:07,0,,,一般
115,"['真心', '难看', 'dc', '迷', '蝙蝠侠', '超人', '搞基', '有意思']",Leon,30,2012-06-17 07:36:18,0,,,一般
116,,大宸,30,2012-05-06 18:10:02,19,,,一般
117,"['第一次', '英雄', '集合', '激动', '喜欢', '美国', '队长', '黑寡妇', '场面', '没得说', '酷炫', '眼花缭乱']",世界尽头,40,2018-04-25 07:01:31,23,,,好评
118,"['漫威', '作品', '动作', '场面', '特效', '厉害', '一群', '超级', '英雄', '聚在一起', '电影', '有趣', '电影', '值得一看', '第三部']",宁宁,40,2018-04-24 23:30:00,24,,,好评
119,"['陪', '男友', '女友', '懂', '搞笑', '瞬间', '老套', '经典', '02', '2012']",三七二星,40,2012-06-13 02:27:47,0,,,好评
120,"['特效', '眼球', '剧情', '不脑', '残', '足矣']",未晓,50,2012-06-17 12:26:11,0,,,好评
121,"['好燃', 't', 't', '哈哈哈哈', '搞笑', '电影院', '爱', '队长']",FiTcyXDD,50,2012-06-17 08:31:24,0,,,好评
122,,油泡塞肉,40,2012-06-17 10:14:32,0,,,好评
123,,假装不孤单,40,2012-06-17 11:34:22,0,,,好评
124,,ashley°雪,50,2012-06-17 12:14:11,0,,,好评
125,,沫沫,50,2012-06-17 11:50:11,0,,,好评
126,"['纯种', '美国', '英雄主义', '科幻片', '商业', '专业', '美式', '英雄', '科幻']",terrance_miu,40,2012-06-17 10:32:18,0,,,好评
127,,Biubiu•~,40,2012-06-17 11:10:06,0,福建厦门,2011-12-24,好评
128,,tomshiwo,10,2012-05-05 22:07:34,24,北京,2007-03-02,差评
129,,小桃红,30,2012-06-19 12:57:43,0,,,一般
130,"['norton', 'mark', 'ruffalo', '失望', '平心而论', '演', 'norton', 'jeremy', '混', '不错']",安德烈·皮皮,50,2012-09-02 02:33:06,0,上海,2007-04-17,好评
131,,mibii,40,2012-06-19 13:46:27,0,,,好评
132,"['洛基', '绿巨人', '痛扁', '精彩', '笑', '美国', '英雄主义', '电影', '可惜', '英雄', '还少']",紫馨,40,2012-06-19 17:52:38,0,,,好评
