14,好吧。如果真的有星际侵略希望你们上第一线。,富豪雪糕车,"['allstar40', 'rating']",2012-09-03 21:50:23,0,,
15,看一群人怎么从内讧变得团结的……,袁日天,"['allstar30', 'rating']",2012-09-03 13:10:39,0,,
16,妇联这一家子，阿爸钢铁萝卜泥负责臭屁幼稚高智商关键时刻拯救家庭，大奶队长妈妈负责正义善良引领家庭，大儿子绿巨人负责主力攻击，小儿子雷神和儿媳裸基因为爱情闹了矛盾，然后儿媳因为嘴贱不停被众人围殴。黑寡妇和鹰眼是有着腹黑过去的牛逼保镖。前段内讧超有爱，后段集体总攻长镜头+3D燃爆了！,伍德与夏洛蒂,"['allstar50', 'rating']",2012-05-07 00:09:00,27,北京,ipodmelody  2008-12-28加入
17,爆米花电影乱的撒一地，特效看到疲，后半程的NYC火拼完全是在证明妇联和变形金刚对同样的战役所采取的不同攻略。Harry Dean Stanton调侃绿巨人一段，证明他才是全片最搞笑的人物。,大奇特(Grinch),"['allstar20', 'rating']",2012-05-05 10:31:54,55,北京,grinch  2005-12-31加入
18,超级英雄大乱战  黄金圣衣   钢铁侠  各种喜欢因素大烩菜  还有很多的搞笑因素  看起来一点儿也不无聊,krahs,"['allstar50', 'rating']",2012-06-19 09:25:34,0,陕西西安,1978127  2007-11-05加入
19,我爱英雄片,ZM子喵,"['allstar50', 'rating']",2012-09-03 11:28:49,1,,
0,还不错，就是结局老套,你啊你啊,"['allstar30', 'rating']",2012-09-03 13:47:06,0,重庆,Kanovak  2011-11-16加入
1,看得爽爽的,虬髯郎,"['allstar50', 'rating']",2012-09-03 20:05:04,0,江苏南京,56173618  2011-11-19加入
2,视觉听觉的饕餮盛宴，不间断的心灵震撼，经典演绎美国式英雄。,罂脂蔻,"['allstar40', 'rating']",2012-06-19 00:42:38,0,,
3,绝对强大，绝对好看！！！彩蛋给力！,白不过儿,"['allstar50', 'rating']",2012-09-03 10:07:13,0,北京,59228737  2012-03-06加入
4,总算有了情节,Drache,"['allstar50', 'rating']",2012-09-03 19:18:58,0,上海,cyantsao  2010-11-03加入
5,好莱坞大片不就应该这样吗！大牌，美女，装备，幽默，特技，再搞搞基！抖森真是萌史了~爱他,太空内的快活,"['allstar50', 'rating']",2012-09-03 21:03:08,0,上海,leozhuo0817  2011-03-05加入
6,这么多角色集中出现在一部电影里，要么浪费阵容要么是部经典，庆幸很不错。,春风不解意,"['allstar40', 'rating']",2018-04-24 08:27:12,26,陕西西安,172195277  2018-01-06加入
7,哈哈各种帅气逼人,sangchen,"['allstar40', 'rating']",2012-09-03 23:37:12,0,,
8,这部电影将我们带回童年，看到英雄们并肩战斗，我兴奋不已。,godzilla,"['allstar40', 'rating']",2018-04-20 06:54:31,28,,
9,对不起我睡着了。。。,Rock,"['allstar40', 'rating']",2012-09-03 12:49:59,0,广东深圳,rock2011  2007-06-10加入
10,看完之后一个字——燃！,燃烧吧小宇宙,"['allstar50', 'rating']",2012-09-03 20:09:32,0,广东深圳,64274502  2012-08-29加入
11,特效NB，台词搞笑,朱朱小当家,"['allstar40', 'rating']",2012-09-03 19:35:02,0,,
12,去电影院看3d的，艾玛，特带劲的。绿巨人真是可爱极了。,mona,"['allstar50', 'rating']",2012-09-03 20:24:20,0,,
13,"从头到尾的吐槽是最欢乐的
",k.,"['allstar40', 'rating']",2012-09-03 10:10:26,0,重庆,summer_T  2010-12-20加入
14,其实还可以的，这种片子就图个热闹，绝对够热闹，够大片,yaozhifeng,"['allstar40', 'rating']",2012-09-03 09:02:53,0,上海,yaozhifeng  2010-04-05加入
15,不解释,蒙三水,"['allstar50', 'rating']",2012-09-03 22:19:43,0,重庆,64044059  2012-08-21加入
16,各种腕儿的集结的超级英雄片儿,Skye,"['allstar50', 'rating']",2012-09-03 20:44:52,0,,
17,爱死雷神呢！！！钢铁侠！！,瞄喵咪,"['allstar50', 'rating']",2012-09-03 22:17:23,0,,
0,反正打得好精彩。。。,克卜勒●浩叔,"['allstar50', 'rating']",2012-06-19 10:46:29,0,北京,summernevergone  2008-10-21加入
1,很好           只是觉得少了点感情。,旮旯,"['allstar40', 'rating']",2012-09-03 10:50:55,0,,
2,动作大片而已,大西洋的地盘,"['allstar30', 'rating']",2012-09-03 17:41:42,0,,
3,笑点不少，而且超级英雄也卖萌，好评~当然一起看电影的人也好评~,无尽の夏天,"['allstar50', 'rating']",2012-06-19 09:46:10,0,北京,holmes67  2009-08-22加入
4,最大亮点是中二少年LOKI,R,"['allstar40', 'rating']",2012-09-03 16:49:45,0,陕西西安,2477652  2008-05-13加入
5,虽然是大锅粥，但料足味香就好！,Sally,"['allstar50', 'rating']",2012-06-19 12:12:55,0,,
6,还是动画版好看,歲月輕狂,"['allstar30', 'rating']",2012-06-17 09:09:16,0,江苏南京,4301526  2009-05-30加入
7,超级英雄大聚会，还用心的穿插了几个幽默桥段，值得一看~,云之彼端,"['allstar40', 'rating']",2012-09-03 10:05:50,0,,
8,😏😏😏美队的肌肉，我可以吃很久,愿此间山有木兮,"['allstar40', 'rating']",2018-01-10 19:56:22,25,,
9,超级英雄聚齐起来维护地球的美式动作大片,我爱我现,"['allstar40', 'rating']",2012-09-03 16:32:44,0,北京,63318995  2012-07-23加入
10,话说把炸弹扔到天空的剧情最近在好几个地方都看到了- -啊不过突然发现斯嘉丽约翰逊的嘴唇真性感~~,Breudrax,"['allstar40', 'rating']",2012-09-04 01:30:15,0,,
11,为了世界和平，聚集的几位超能力者，剧中几个笑点效果很好，绿巨人浩克表演很出彩，和战友的两场调侃戏份真的很到位，有点韩式喜剧。两个多小时的片，看完至少没有瞌睡来，意犹未尽。就凭这点，已经很不错了，而且确实也蛮好看的,云悦,"['allstar40', 'rating']",2012-09-03 10:58:54,0,,
12,只想说洛基真心是史上最脑残boss...,闲渝,"['allstar40', 'rating']",2012-09-03 12:08:09,0,,
13,热热闹闹蛮好看的，我喜欢鹰眼啊真的很帅，嘿嘿~,红袖添饭,"['allstar40', 'rating']",2012-09-03 16:10:07,0,,
14,话说我去了趟厕所把最精彩的部分错过了。,小懶同學 -,"['allstar40', 'rating']",2012-09-03 20:40:19,0,"Barcelona, Spain",pandor  2010-07-28加入
15,好弱的神,flowermix,"['allstar40', 'rating']",2012-09-03 10:44:06,0,,
16,强大的视觉刺激、全明星阵容、震撼的配乐......,S.A.T.S@S.C,"['allstar40', 'rating']",2012-09-03 22:42:11,0,北京,44817600  2010-08-15加入
17,浩克无敌，外星人弱爆了,sungodhead,"['allstar40', 'rating']",2012-09-03 21:11:29,0,,
18,大乱斗看的很过瘾,潇湘烟雨,"['allstar40', 'rating']",2018-04-17 08:50:07,26,天津,165023952  2017-08-08加入
0,"3.5/5 superheros, american pride.",Ｆlamingo,"['allstar30', 'rating']",2012-06-19 10:09:19,0,"New York City, United States",Flamingo890  2006-01-18加入
